trip_duration,distance_traveled,num_of_passengers,fare,tip,miscellaneous_fees,total_fare,surge_applied
748.0,2.75,1.0,75.0,24,6.299999999999997,105.3,0
1187.0,3.43,1.0,105.0,24,13.200000000000015,142.20000000000002,0
730.0,3.12,1.0,71.25,0,26.625,97.875,1
671.0,5.63,3.0,90.0,0,9.75,99.75,0
329.0,2.09,1.0,45.0,12,13.199999999999989,70.19999999999999,0
355.0,1.74,1.0,45.0,0,26.625,71.625,1
453.0,2.22,1.0,52.5,0,6.0,58.5,0
1288.0,5.21,1.0,116.25,36,26.32499999999999,178.575,1
134.0,1.48,1.0,33.75,0,6.0,39.75,0
980.0,3.48,1.0,90.0,0,6.0,96.0,0
84305.0,4.94,2.0,116.25,29,26.19999999999999,171.45,1
328.0,2.16,1.0,48.75,15,26.700000000000003,90.45,1
1848.0,4.83,1.0,142.5,17,26.42500000000001,185.925,1
305.0,2.04,1.0,45.0,0,9.75,54.75,0
234.0,1.61,0.0,37.5,0,26.625,64.125,1
1537.0,7.64,1.0,146.25,14,26.42500000000001,186.675,1
4059.0,30.0,1.0,390.0,0,55.125,445.125,0
530.0,2.43,1.0,56.25,0,9.75,66.0,0
319.0,1.67,1.0,41.25,0,26.625,67.875,1
773.0,3.41,2.0,75.0,9,13.5,97.5,0
375.0,1.45,1.0,45.0,24,33.825,102.825,1
586.0,2.57,1.0,63.75,0,26.625,90.375,1
357.0,1.43,1.0,112.5,0,2.25,114.75,0
1617.0,3.23,6.0,123.75,8,26.125,157.875,1
1163.0,5.62,1.0,108.75,0,13.5,122.25,0
1059.0,5.39,1.0,112.5,0,6.0,118.5,0
1271.0,4.84,1.0,116.25,0,26.625,142.875,1
915.0,4.46,1.0,93.75,26,33.70000000000002,153.45000000000002,1
742.0,4.89,3.0,90.0,11,30.625,131.625,1
1467.0,5.21,1.0,127.5,0,6.0,133.5,0
929.0,4.31,1.0,93.75,25,5.900000000000006,124.65,0
1149.0,9.35,1.0,153.75,0,26.625,180.375,1
1146.0,3.88,1.0,97.5,37,26.825000000000017,161.32500000000002,1
1023.0,2.41,2.0,90.0,19,6.125,115.125,0
255.0,2.48,1.0,45.0,0,6.0,51.0,0
668.0,3.11,2.0,75.0,0,9.75,84.75,0
11323.0,0.14,1.0,337.5,68,2.1999999999999886,407.7,0
3722.0,19.17,1.0,322.5,89,34.30000000000001,445.8,1
962.0,12.7,1.0,180.0,37,6.199999999999989,223.2,0
407.0,5.13,1.0,78.75,18,9.450000000000005,106.2,0
512.0,2.4,1.0,56.25,12,6.450000000000003,74.7,0
139.0,0.64,1.0,26.25,9,6.375,41.625,0
1911.0,6.76,1.0,161.25,47,26.57499999999999,234.825,1
622.0,2.03,1.0,60.0,0,26.625,86.625,1
3438.0,27.54,1.0,408.75,4,75.64999999999998,488.4,1
395.0,2.27,1.0,52.5,13,13.700000000000005,79.2,0
703.0,6.45,1.0,101.25,28,9.5,138.75,0
978.0,4.51,1.0,97.5,12,27.075000000000017,136.57500000000002,1
730.0,3.35,1.0,75.0,22,33.95000000000002,130.95000000000002,1
1113.0,3.51,1.0,93.75,0,13.5,107.25,0
522.0,2.56,1.0,63.75,0,26.625,90.375,1
608.0,2.8,1.0,63.75,0,6.0,69.75,0
728.0,3.09,1.0,78.75,0,6.0,84.75,0
207.0,1.85,1.0,41.25,0,6.0,47.25,0
453.0,2.12,1.0,52.5,0,6.0,58.5,0
718.0,5.42,1.0,93.75,0,6.0,99.75,0
626.0,2.57,2.0,67.5,19,26.375,112.875,1
784.0,2.25,1.0,71.25,20,26.200000000000003,117.45,1
273.0,1.95,1.0,45.0,11,9.700000000000005,65.7,0
569.0,2.43,1.0,63.75,21,5.924999999999997,90.675,0
2175.0,13.07,1.0,232.5,0,9.75,242.25,0
1202.0,6.12,1.0,120.0,29,26.875,175.875,1
214.0,1.43,1.0,37.5,9,5.700000000000003,52.2,0
751.0,3.98,1.0,78.75,0,6.0,84.75,0
295.0,1.63,1.0,41.25,0,9.75,51.0,0
460.0,1.58,1.0,48.75,15,26.700000000000003,90.45,1
567.0,2.85,1.0,63.75,15,13.950000000000005,92.7,0
427.0,1.63,1.0,48.75,16,6.424999999999997,71.175,0
2147.0,16.87,1.0,251.25,0,26.625,277.875,1
845.0,2.54,1.0,75.0,16,6.200000000000003,97.2,0
887.0,10.99,1.0,153.75,0,55.125,208.875,0
447.0,1.77,1.0,48.75,0,6.0,54.75,0
420.0,1.75,1.0,48.75,0,13.500000000000009,62.25000000000001,0
142.0,0.66,1.0,26.25,0,6.0,32.25,0
537.0,1.54,1.0,56.25,0,13.5,69.75,0
972.0,3.17,1.0,78.75,0,6.0,84.75,0
2406.0,4.38,1.0,176.25,41,26.19999999999999,243.45,1
684.0,3.83,1.0,78.75,0,6.0,84.75,0
1090.0,6.65,1.0,120.0,38,13.0,171.0,0
1215.0,13.68,2.0,195.0,0,30.375,225.375,1
1045.0,17.27,2.0,225.0,0,6.0,231.0,0
2467.0,11.35,5.0,221.25,0,13.5,234.75,0
319.0,1.32,1.0,41.25,0,9.75,51.0,0
2249.0,28.49,1.0,390.0,15,55.125,460.125,0
692.0,3.19,1.0,78.75,22,9.875,110.625,0
10.0,0.31,1.0,75.0,0,2.25,77.25,0
1592.0,13.84,1.0,213.75,50,33.625,297.375,1
1092.0,9.66,6.0,142.5,34,26.44999999999999,202.95,1
234.0,1.22,1.0,33.75,0,6.0,39.75,0
506.0,2.86,2.0,60.0,0,26.625,86.625,1
1303.0,3.2,1.0,108.75,27,26.69999999999999,162.45,1
1244.0,14.82,2.0,202.5,0,9.75,212.25,0
1592.0,5.66,1.0,131.25,0,26.625,157.875,1
1641.0,19.07,1.0,262.5,38,9.25,309.75,0
1242.0,6.94,1.0,123.75,0,6.0,129.75,0
1029.0,3.2,1.0,90.0,19,6.200000000000003,115.2,0
958.0,2.9,5.0,90.0,19,6.200000000000003,115.2,0
664.0,2.9,1.0,67.5,22,6.049999999999997,95.55,0
1461.0,4.57,1.0,123.75,0,13.5,137.25,0
1518.0,5.47,1.0,135.0,40,26.75,201.75,1
502.0,2.09,1.0,56.25,12,6.450000000000003,74.7,0
1042.0,4.99,1.0,105.0,0,6.0,111.0,0
1211.0,3.28,1.0,101.25,27,34.19999999999999,162.45,1
292.0,0.77,1.0,37.5,13,6.049999999999997,56.55,0
827.0,2.98,1.0,82.5,0,13.5,96.0,0
592.0,1.37,1.0,56.25,0,13.5,69.75,0
536.0,2.16,1.0,56.25,0,9.75,66.0,0
173.0,0.58,1.0,26.25,0,6.0,32.25,0
903.0,3.59,1.0,82.5,23,34.44999999999999,139.95,1
420.0,1.79,1.0,52.5,0,9.750000000000009,62.25000000000001,0
